name	replicate	replicate_full	rsid	hgnc	sample	type	PCR	prefix	Read_1_file	Read_2_file	bam
FUT8	c9	FUT8_H9_C9	rs183228067	FUT8	H9	cDNA	NA	H9_C9	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C9_S33_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C9_S33_L001_R2_001.fastq.gz	NA
FUT8	g1	FUT8_H9_G1	rs183228067	FUT8	H9	gDNA	NA	H9_G1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-G1_S146_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-G1_S146_L001_R2_001.fastq.gz	NA
FUT8	g2	FUT8_H9_G2	rs183228067	FUT8	H9	gDNA	NA	H9_G2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-G2_S147_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-G2_S147_L001_R2_001.fastq.gz	NA
FUT8	g3	FUT8_H9_G3	rs183228067	FUT8	H9	gDNA	NA	H9_G3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-G3_S148_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-G3_S148_L001_R2_001.fastq.gz	NA
FUT8	g4	FUT8_H9_G4	rs183228067	FUT8	H9	gDNA	NA	H9_G4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-G4_S149_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-G4_S149_L001_R2_001.fastq.gz	NA
LUC7L	c1	LUC7L_H11_C1	rs188132769	LUC7L	H11	cDNA	NA	H11_C1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H11-C1_S98_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H11-C1_S98_L001_R2_001.fastq.gz	NA
LUC7L	c2	LUC7L_H11_C2	rs188132769	LUC7L	H11	cDNA	NA	H11_C2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H11-C2_S99_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H11-C2_S99_L001_R2_001.fastq.gz	NA
LUC7L	c3	LUC7L_H11_C3	rs188132769	LUC7L	H11	cDNA	NA	H11_C3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H11-C3_S100_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H11-C3_S100_L001_R2_001.fastq.gz	NA
LUC7L	c4	LUC7L_H11_C4	rs188132769	LUC7L	H11	cDNA	NA	H11_C4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H11-C4_S101_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H11-C4_S101_L001_R2_001.fastq.gz	NA
LUC7L	c5	LUC7L_H11_C5	rs188132769	LUC7L	H11	cDNA	NA	H11_C5	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H11-C5_S102_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H11-C5_S102_L001_R2_001.fastq.gz	NA
LUC7L	c6	LUC7L_H11_C6	rs188132769	LUC7L	H11	cDNA	NA	H11_C6	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H11-C6_S103_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H11-C6_S103_L001_R2_001.fastq.gz	NA
LUC7L	c7	LUC7L_H11_C7	rs188132769	LUC7L	H11	cDNA	NA	H11_C7	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H11-C7_S104_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H11-C7_S104_L001_R2_001.fastq.gz	NA
LUC7L	c8	LUC7L_H11_C8	rs188132769	LUC7L	H11	cDNA	NA	H11_C8	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H11-C8_S105_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H11-C8_S105_L001_R2_001.fastq.gz	NA
LUC7L	g1	LUC7L_H11_G1	rs188132769	LUC7L	H11	gDNA	NA	H11_G1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H11-G1_S94_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H11-G1_S94_L001_R2_001.fastq.gz	NA
